,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
1358,14,7,1,1,1,3,1,1,0,37025040500,13325,6691,6634,3727,8225,1373,1967,1760,4024,4201,700,673,8916,4863,31764,19.48146318,683.9835324000001,12.354000000000001,5.354,2.055,1.055,-3.0010000000000003,-4.001,0.63,-0.37,1.422,0.42200000000000004,0.614,-2.386,1.48,0.48,1.547,1.547,"Census Tract 405, Cabarrus County, North Carolina"
1359,12,8,0,2,1,1,0,1,0,37025040702,7388,3525,3863,2052,4273,1063,998,1054,2043,2230,484,579,4057,3470,28291,3.285033999,2248.9873780000003,6.888,-1.112,2.17,2.17,1.4409999999999998,1.4409999999999998,2.021,0.021,0.42,-0.58,0.467,-0.5329999999999999,0.52,-0.48,1.02,1.02,"Census Tract 407.02, Cabarrus County, North Carolina"
1360,28,11,3,6,0,3,2,4,2,37025040703,2670,1007,1663,857,1406,407,395,462,499,907,113,294,1111,1630,20151,1.6694088219999998,1599.3685699999999,7.148,-3.852,4.172,2.1719999999999997,3.679,0.679,6.1579999999999995,0.158,1.931,1.931,1.4769999999999999,-1.5230000000000001,0.09,-3.91,2.48,0.48,"Census Tract 407.03, Cabarrus County, North Carolina"
1361,11,5,0,3,0,0,2,1,1,37025040800,3855,1863,1992,961,2319,575,484,477,1111,1208,268,307,2349,1594,23125,1.4841361569999998,2597.470577,4.9830000000000005,-0.017,2.1959999999999997,0.196,-0.07200000000000001,-0.07200000000000001,1.126,-1.874,0.72,0.72,0.44799999999999995,0.44799999999999995,1.246,0.24600000000000002,0.13699999999999998,-0.863,"Census Tract 408, Cabarrus County, North Carolina"
1362,14,7,0,1,0,1,3,2,0,37025040900,2038,1061,977,407,1277,354,250,157,656,621,155,199,1328,724,26897,1.17765058,1730.564256,3.175,-3.825,1.99,-1.01,1.875,1.875,2.968,1.9680000000000002,1.261,1.261,-0.039,-1.0390000000000001,2.286,0.28600000000000003,1.245,1.245,"Census Tract 409, Cabarrus County, North Carolina"
1363,20,15,4,1,1,1,0,0,0,37025041000,5924,2728,3196,1690,3481,753,878,812,1547,1934,303,450,3759,2237,23547,3.2553736310000003,1819.760393,9.238999999999999,-5.761,1.273,1.273,5.232,1.232,5.1339999999999995,4.1339999999999995,0.925,-0.075,1.227,0.22699999999999998,-0.8320000000000001,-0.8320000000000001,0.728,0.728,"Census Tract 410, Cabarrus County, North Carolina"
1364,10,3,1,3,1,1,1,1,0,37025041100,6623,3121,3502,1793,3914,916,882,911,1827,2087,412,504,5490,1188,29862,3.871142867,1710.864266,7.34,4.34,1.984,0.9840000000000001,-2.144,-3.1439999999999997,1.3769999999999998,-1.6230000000000002,0.679,-0.321,0.747,-0.253,0.737,-0.263,0.504,0.504,"Census Tract 411, Cabarrus County, North Carolina"
1365,45,18,7,15,6,6,5,6,5,37025041200,8274,4152,4122,2145,5018,1111,980,1165,2579,2439,593,518,5815,2779,31177,18.83326908,439.3289324,18.422,0.42200000000000004,7.58,2.58,9.999,2.9989999999999997,8.343,-6.657,3.238,-2.762,6.119,0.11900000000000001,8.5,2.5,4.412,-0.588,"Census Tract 412, Cabarrus County, North Carolina"
1366,13,5,0,4,1,1,1,2,2,37025041301,6133,3012,3121,1621,3848,664,826,795,1886,1962,300,364,4534,1786,34888,14.40684181,425.7005165,6.84,1.84,2.682,1.682,-0.792,-0.792,0.45399999999999996,-3.5460000000000003,1.0390000000000001,0.039,1.396,0.396,1.925,-0.075,0.78,-1.22,"Census Tract 413.01, Cabarrus County, North Carolina"
1367,19,8,1,3,1,3,4,3,1,37025041302,10131,4572,5559,3352,5987,792,1607,1745,2577,3410,388,404,6842,3390,45622,7.981721969,1269.274981,7.747999999999999,-0.252,1.9869999999999999,-2.013,-1.811,-2.8110000000000004,5.906000000000001,2.906,1.796,0.7959999999999999,2.401,-0.599,3.1069999999999998,0.107,1.054,0.054000000000000006,"Census Tract 413.02, Cabarrus County, North Carolina"
