,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
884,51,19,5,14,4,3,9,6,2,32003000101,7174,3905,3269,1860,4495,819,972,888,2479,2016,454,365,3881,3525,23024,1.435722421,4996.787607,14.862,-4.138,6.375,-2.625,8.802,3.802,9.987,-4.013,3.603,-0.397,3.8089999999999997,0.809,11.228,5.228,3.5780000000000003,1.578,"Census Tract 1.01, Clark County, Nevada"
885,62,29,10,12,3,8,7,7,5,32003000103,5923,3131,2792,1678,3733,512,995,683,2018,1715,118,394,2854,3369,25316,0.501507708,11810.386779999999,21.165,-7.835,6.837999999999999,-0.162,13.574000000000002,3.574,15.202,3.202,3.9210000000000003,0.9209999999999999,6.915,-1.085,6.455,-0.545,6.614,1.614,"Census Tract 1.03, Clark County, Nevada"
886,201,43,10,95,12,24,27,12,24,32003000105,3981,1961,2020,1064,2348,569,409,655,1329,1019,223,346,1448,2982,26345,0.785602062,5067.451058,41.828,-1.172,23.429000000000002,-3.571,32.499,22.499000000000002,31.495,-63.505,13.224,1.224,23.79,-0.21,34.801,22.801,18.480999999999998,-5.519,"Census Tract 1.05, Clark County, Nevada"
887,80,11,4,18,3,9,13,28,5,32003000106,4113,2274,1839,824,2229,1060,579,245,1215,1014,480,580,2491,1755,18427,0.545084742,7545.615728,15.65,4.65,18.805999999999997,5.806,-0.434,-4.434,15.207,-2.793,7.197,4.197,4.467,-4.533,11.915999999999999,-16.084,8.193,3.193,"Census Tract 1.06, Clark County, Nevada"
888,99,22,22,27,3,21,15,11,4,32003000107,3766,1988,1778,845,2389,532,416,429,1297,1092,275,257,1871,2005,20406,0.48202229,7812.916701,34.525,12.525,10.118,-4.882,13.020999999999999,-8.979,19.26,-7.74,8.306000000000001,5.306,8.565,-12.435,11.76,0.76,9.776,5.776,"Census Tract 1.07, Clark County, Nevada"
889,22,8,2,5,1,4,5,1,2,32003000108,3626,1767,1859,1163,2121,342,588,575,1024,1097,155,187,1994,1744,21374,0.363891632,9964.50504,6.6129999999999995,-1.3869999999999998,2.688,-2.312,3.765,1.765,5.061,0.061,0.5579999999999999,-0.442,2.497,-1.5030000000000001,4.814,3.8139999999999996,2.7910000000000004,0.7909999999999999,"Census Tract 1.08, Clark County, Nevada"
890,17,9,2,2,4,1,1,3,0,32003000109,4068,2304,1764,952,2599,517,581,371,1541,1058,182,335,1951,2430,18185,0.36109779700000005,11265.64614,9.883,0.883,4.515,3.515,5.051,3.051,2.987,0.987,-0.168,-4.168,1.776,0.7759999999999999,4.297,1.297,3.035,3.035,"Census Tract 1.09, Clark County, Nevada"
891,29,9,3,4,1,1,8,8,2,32003000201,3921,2170,1751,1141,2272,508,797,344,1111,1161,262,246,1124,3151,20373,0.841591894,4659.027762,6.694,-2.306,6.004,-1.996,2.342,-0.6579999999999999,6.32,2.32,1.7719999999999998,0.772,2.291,1.291,7.228,-0.772,2.035,0.035,"Census Tract 2.01, Clark County, Nevada"
892,139,14,5,18,4,15,12,15,80,32003000203,4199,1961,2238,1094,2644,461,411,683,1341,1303,209,252,1831,2529,20555,0.7874140390000001,5332.645584000001,22.467,8.467,12.502,0.502,-10.835999999999999,-15.835999999999999,6.301,-11.699000000000002,11.171,7.171,33.161,18.160999999999998,13.944,-1.056,11.412,-68.58800000000001,"Census Tract 2.03, Clark County, Nevada"
893,123,20,16,33,6,9,26,25,22,32003000204,1102,548,554,218,662,222,118,100,340,322,90,132,789,364,27049,0.668578745,1648.272561,28.038,8.038,18.407,-7.593,4.595,-11.405,23.756999999999998,-9.243,11.220999999999998,5.221,15.847000000000001,6.847,23.291,-1.709,5.657,-16.343,"Census Tract 2.04, Clark County, Nevada"
