,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
1714,3,1,2,0,0,0,0,0,0,39035101101,2091,984,1107,496,1278,317,217,279,669,609,98,219,770,1643,13503,0.118143013,17698.88832,5.324,4.324,0.773,0.773,-0.047,-2.0469999999999997,-0.48700000000000004,-0.48700000000000004,-1.733,-1.733,0.8340000000000001,0.8340000000000001,0.765,0.765,0.369,0.369,"Census Tract 1011.01, Cuyahoga County, Ohio"
1715,46,28,11,6,3,7,2,4,1,39035101102,5273,2796,2477,913,3694,666,441,472,2063,1631,292,374,3512,2351,35661,0.5114880620000001,10309.13601,21.131,-6.869,2.247,0.247,14.804,3.804,10.208,4.208,3.4960000000000004,0.496,5.024,-1.976,4.695,0.695,7.0120000000000005,6.0120000000000005,"Census Tract 1011.02, Cuyahoga County, Ohio"
1716,42,22,21,14,3,4,1,1,0,39035101200,2460,1181,1279,349,1578,533,184,165,755,823,242,291,1678,824,18006,0.501219675,4908.027599,28.799,6.7989999999999995,2.924,1.9240000000000002,13.812999999999999,-7.187,9.74,-4.26,2.158,-0.8420000000000001,5.064,1.064,-0.10800000000000001,-1.1079999999999999,-1.585,-1.585,"Census Tract 1012, Cuyahoga County, Ohio"
1717,24,10,8,6,2,3,1,2,1,39035101300,1772,934,838,246,1304,222,146,100,729,575,59,163,1005,825,19387,0.24199995300000002,7322.315482999999,14.549000000000001,4.5489999999999995,2.984,1.984,5.591,-2.4090000000000003,3.778,-2.222,1.0290000000000001,-0.971,2.678,-0.322,1.348,-0.652,0.8909999999999999,-0.109,"Census Tract 1013, Cuyahoga County, Ohio"
1718,22,11,1,4,0,2,3,3,1,39035101400,2308,1144,1164,654,1505,149,342,312,745,760,57,92,1325,1096,19861,0.493855549,4673.43134,5.104,-5.896,3.16,0.16,4.158,3.158,4.317,0.317,1.189,1.189,1.1,-0.9,2.035,-0.965,1.161,0.161,"Census Tract 1014, Cuyahoga County, Ohio"
1719,3,1,0,1,0,0,0,1,0,39035101501,2368,1325,1043,585,1521,262,334,251,881,640,110,152,1330,1134,15769,0.195888544,12088.50682,4.275,3.275,1.995,1.995,-0.519,-0.519,-1.3330000000000002,-2.333,-1.163,-1.163,0.08900000000000001,0.08900000000000001,0.305,-0.695,-0.623,-0.623,"Census Tract 1015.01, Cuyahoga County, Ohio"
1720,3,1,0,0,0,0,2,1,0,39035101603,2870,1320,1550,1007,1740,123,509,498,761,979,50,73,1480,1603,16292,0.238684493,12024.24154,2.5340000000000003,1.534,1.787,-0.213,-1.26,-1.26,1.158,1.158,-0.919,-0.919,0.23600000000000002,0.23600000000000002,1.306,0.306,-0.41600000000000004,-0.41600000000000004,"Census Tract 1016.03, Cuyahoga County, Ohio"
1721,2,1,0,1,0,0,0,1,0,39035101700,2459,1109,1350,719,1536,204,429,290,593,943,87,117,864,1666,14133,0.280485457,8766.942935,3.4539999999999997,2.454,2.336,2.336,-1.057,-1.057,0.493,-0.507,-0.9159999999999999,-0.9159999999999999,-0.11800000000000001,-0.11800000000000001,-0.792,-1.7919999999999998,-0.778,-0.778,"Census Tract 1017, Cuyahoga County, Ohio"
1722,14,4,2,7,2,1,2,1,0,39035101800,2648,1297,1351,779,1484,385,443,336,724,760,130,255,1447,1349,13434,0.288277771,9185.585099,7.215,3.215,3.84,1.84,2.43,0.43,2.759,-4.2410000000000005,-0.068,-2.068,1.198,0.198,2.526,1.526,0.813,0.813,"Census Tract 1018, Cuyahoga County, Ohio"
1723,7,2,0,2,0,0,2,1,0,39035101901,1617,829,788,381,1110,126,203,178,569,541,57,69,1014,671,21784,0.19557927600000002,8267.747131999999,3.5060000000000002,1.506,1.765,-0.235,-0.095,-0.095,0.358,-1.642,-0.09699999999999999,-0.09699999999999999,0.33899999999999997,0.33899999999999997,1.4169999999999998,0.41700000000000004,-0.376,-0.376,"Census Tract 1019.01, Cuyahoga County, Ohio"
