,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
2365,31,18,14,1,1,3,3,1,3,42003010300,6668,3893,2775,178,6369,121,87,91,3733,2636,73,48,4228,2734,4770,0.334429721,19938.41931,36.973,18.973,0.86,-2.14,2.028,-11.972000000000001,-3.6839999999999997,-4.684,0.365,-0.635,4.593,1.5930000000000002,4.112,3.112,-0.737,-3.737,"Census Tract 103, Allegheny County, Pennsylvania"
2366,703,386,163,101,45,55,32,31,35,42003020100,5101,2353,2748,171,4388,542,58,113,2062,2326,233,309,4143,1072,39547,0.647886372,7873.294178,203.988,-182.012,24.037,-7.962999999999999,252.71900000000002,89.719,176.325,75.325,52.077,7.077000000000001,79.964,24.964000000000002,43.63,12.63,31.91,-3.09,"Census Tract 201, Allegheny County, Pennsylvania"
2367,242,141,65,48,15,14,13,17,8,42003020300,1020,557,463,37,924,59,23,14,502,422,32,27,922,113,78563,0.615818657,1656.33176,79.64,-61.36,9.04,-3.96,88.0,23.0,60.478,12.478,17.517,2.517,29.676,15.675999999999998,16.516,-0.484,4.7330000000000005,-3.267,"Census Tract 203, Allegheny County, Pennsylvania"
2368,18,6,0,3,3,2,2,4,0,42003030500,2249,1081,1168,409,1342,498,208,201,736,606,137,361,234,2146,13611,0.256304265,8774.727165,6.837999999999999,0.838,4.967,2.967,2.762,2.762,3.7880000000000003,0.7879999999999999,1.0859999999999999,-1.9140000000000001,0.797,-1.203,2.928,-1.072,2.9760000000000004,2.9760000000000004,"Census Tract 305, Allegheny County, Pennsylvania"
2369,10,3,0,0,0,0,0,1,6,42003040200,1703,577,1126,111,1399,193,73,38,449,950,55,138,778,999,8862,0.233482539,7293.9073180000005,6.672000000000001,3.6719999999999997,2.003,2.003,-3.571,-3.571,-0.289,-0.289,-0.02,-0.02,1.686,1.686,-0.619,-1.619,-0.18899999999999997,-6.189,"Census Tract 402, Allegheny County, Pennsylvania"
2370,37,21,5,6,0,4,1,2,3,42003040400,1978,906,1072,23,1331,624,3,20,602,729,301,323,1218,783,20375,0.077029311,25678.536790000002,13.72,-7.28,0.659,-0.341,9.5,4.5,5.9239999999999995,-0.076,0.141,0.141,5.443,1.443,2.177,0.177,1.5219999999999998,-1.4780000000000002,"Census Tract 404, Allegheny County, Pennsylvania"
2371,150,105,29,21,4,14,0,4,6,42003040500,3377,1642,1735,0,3185,192,0,0,1558,1627,84,108,3023,391,5902,0.182361455,18518.167680000002,46.909,-58.091,3.272,3.272,59.81100000000001,30.811,31.779,10.779000000000002,6.722,2.722,15.092,1.092,1.8030000000000002,-2.197,6.947,0.9470000000000001,"Census Tract 405, Allegheny County, Pennsylvania"
2372,21,16,6,1,1,0,1,1,0,42003040600,2121,1042,1079,37,1977,107,31,6,946,1031,65,42,1761,462,9129,0.097707784,21707.58463,14.762,-1.238,1.023,0.023,5.773,-0.22699999999999998,2.9139999999999997,1.9140000000000001,-0.5670000000000001,-1.567,3.168,3.168,1.3030000000000002,0.303,-1.4709999999999999,-1.4709999999999999,"Census Tract 406, Allegheny County, Pennsylvania"
2373,17,1,1,2,0,1,5,4,5,42003040900,3406,1935,1471,263,2856,287,211,52,1622,1234,102,185,2462,1149,9801,0.352276521,9668.541048000001,11.779000000000002,10.779000000000002,3.785,-1.215,-6.395,-7.395,-0.631,-2.6310000000000002,1.1420000000000001,1.1420000000000001,2.061,1.061,3.525,-0.475,-0.363,-5.3629999999999995,"Census Tract 409, Allegheny County, Pennsylvania"
2374,5,4,1,0,1,0,1,0,0,42003050100,1986,761,1225,590,1030,366,348,242,295,735,118,248,134,2098,14658,0.305164721,6507.960655,3.252,-0.748,1.811,0.8109999999999999,1.2409999999999999,0.24100000000000002,2.7030000000000003,2.7030000000000003,-0.017,-1.0170000000000001,0.044000000000000004,0.044000000000000004,0.091,0.091,0.233,0.233,"Census Tract 501, Allegheny County, Pennsylvania"
2375,3,0,0,1,0,0,1,2,0,42003050600,2036,942,1094,354,1069,613,176,178,605,464,161,452,337,1727,22619,0.310973628,6547.178971,4.553,4.553,2.075,1.075,-2.571,-2.571,0.499,-0.501,0.054000000000000006,0.054000000000000006,-0.11599999999999999,-0.11599999999999999,-0.212,-2.2119999999999997,-0.16699999999999998,-0.16699999999999998,"Census Tract 506, Allegheny County, Pennsylvania"
2376,2,1,0,0,0,0,0,0,0,42003050900,1292,538,754,331,716,245,160,171,283,433,95,150,26,1277,13319,0.17568961,7353.878256,2.88,1.88,1.48,1.48,-0.691,-0.691,-0.105,-0.105,-0.24,-0.24,-0.767,-0.767,-1.197,-1.197,-1.0170000000000001,-1.0170000000000001,"Census Tract 509, Allegheny County, Pennsylvania"
2377,2,0,0,0,0,0,0,1,1,42003051000,2143,1009,1134,163,1800,180,111,52,842,958,56,124,901,1314,6354,0.24919766899999998,8599.598897,7.676,7.676,2.445,2.445,-3.89,-3.89,-2.21,-2.21,-0.546,-0.546,-0.531,-0.531,-0.743,-1.743,-0.826,-1.8259999999999998,"Census Tract 510, Allegheny County, Pennsylvania"
2378,89,43,25,22,7,12,5,6,3,42003060300,2233,1139,1094,236,1755,242,169,67,875,880,95,147,1823,439,37542,0.43164175,5173.271586,38.04,-4.96,5.9079999999999995,0.9079999999999999,27.124000000000002,2.124,21.32,-0.68,7.206,0.20600000000000002,10.918,-1.082,6.144,0.14400000000000002,5.435,2.435,"Census Tract 603, Allegheny County, Pennsylvania"
2379,18,5,7,2,3,0,4,1,0,42003060500,1337,735,602,141,1014,182,63,78,582,432,90,92,1202,192,35509,0.256462953,5213.228587,11.370999999999999,6.371,1.127,-2.873,2.798,-4.202,2.983,0.983,2.033,-0.9670000000000001,2.955,2.955,4.336,3.3360000000000003,-1.158,-1.158,"Census Tract 605, Allegheny County, Pennsylvania"
2380,135,52,23,46,13,27,10,10,7,42003070300,2162,1043,1119,164,1645,353,63,101,832,813,148,205,1843,375,40398,0.165462536,13066.40196,46.038000000000004,-5.962000000000001,11.850999999999999,1.851,32.311,9.311,31.535999999999998,-14.464,10.462,-2.5380000000000003,18.352999999999998,-8.647,17.364,7.364,18.704,11.704,"Census Tract 703, Allegheny County, Pennsylvania"
2381,124,50,27,21,6,31,5,12,19,42003070500,3119,1640,1479,133,2836,150,69,64,1497,1339,74,76,2321,870,31257,0.15936482400000002,19571.445669999997,50.92100000000001,0.9209999999999999,8.127,3.127,25.145,-1.855,28.339000000000002,7.3389999999999995,7.827000000000001,1.827,16.732,-14.267999999999999,7.473,-4.527,22.135,3.135,"Census Tract 705, Allegheny County, Pennsylvania"
2382,1,0,0,0,0,0,0,0,0,42003070600,1999,1026,973,53,1636,310,34,19,843,793,149,161,1568,471,41201,0.111868081,17869.26155,7.452000000000001,7.452000000000001,-1.396,-1.396,-2.83,-2.83,-2.609,-2.609,-0.8029999999999999,-0.8029999999999999,2.445,2.445,1.601,1.601,-0.662,-0.662,"Census Tract 706, Allegheny County, Pennsylvania"
2383,41,16,4,10,2,6,2,8,3,42003070800,2378,1116,1262,143,2002,233,69,74,917,1085,130,103,1758,679,38319,0.172464112,13788.37585,14.129000000000001,-1.871,4.439,2.439,6.171,2.171,6.385,-3.615,2.6060000000000003,0.606,5.718999999999999,-0.281,4.4639999999999995,-3.536,4.012,1.012,"Census Tract 708, Allegheny County, Pennsylvania"
2384,38,9,4,3,1,6,3,9,12,42003070900,4247,2104,2143,180,3462,605,45,135,1838,1624,221,384,2460,1921,25309,0.310260498,13688.49735,19.367,10.367,5.21,2.21,-3.9189999999999996,-7.919,1.959,-1.041,2.423,1.423,7.165,1.165,3.895,-5.105,4.879,-7.121,"Census Tract 709, Allegheny County, Pennsylvania"
